,people,x,y
0,1345.0,114.05678714849871,22.522379788305912
1,844.0,114.05773276046055,22.528949640885646
2,1086.0,114.05309470478626,22.527509527141707
3,1024.0,114.05522104730932,22.530427158036275
4,702.0,114.05569316824365,22.5269274138838
5,1706.0,114.06169630366448,22.530344678560155
6,868.0,114.04931245812394,22.529709020716304
7,1540.0,114.06054349371352,22.52559007589547
8,1048.0,114.05234574749781,22.525277973915422
9,1472.0,114.05729237781121,22.524878983940123
10,778.0,114.06472865381768,22.530403190046936
11,1090.0,114.05075327849929,22.52748896000367
12,546.0,114.05772513823918,22.52037143754343
13,881.0,114.05490319044915,22.52512186847428
14,1304.0,114.05822138597792,22.521920711407844
15,1099.0,114.05230937763788,22.529388832135506
16,798.0,114.04327113073236,22.518958984998335
17,560.0,114.0448640005973,22.524259458968245
18,1413.0,114.04334955574748,22.525632918478625
19,1728.0,114.04732317322063,22.52876320264658
20,1211.0,114.0466391379941,22.524102664343328
21,683.0,114.04605255939835,22.52293027329912
22,1109.0,114.04666955637066,22.521683048737415
23,911.0,114.04349202176387,22.528699843592356
24,764.0,114.04437342519607,22.522392807633864
25,1229.0,114.04866322995666,22.52632594054465
26,953.0,114.04892443701249,22.521979823005232
27,1171.0,114.0523496739053,22.516266919871512
28,1177.0,114.04360781718233,22.517250816529447
29,1174.0,114.05511374531564,22.517583357262314
30,1530.0,114.04892922760547,22.516620185523223
31,1012.0,114.04676045600593,22.516600753503873
32,938.0,114.04894568710007,22.520042904946116
33,1080.0,114.05732693266239,22.517821722009536
34,1410.0,114.06529946167909,22.5206176314746
35,986.0,114.06986718543286,22.52268953432447
36,990.0,114.06615644176821,22.528025330351277
37,1020.0,114.0708404453728,22.52987189469035
38,1050.0,114.06473053466107,22.525392678080824
39,979.0,114.05988343803746,22.519159217290515
40,1964.0,114.06815538306378,22.519639381326265
41,799.0,114.06309639264492,22.522448651024913
42,1704.0,114.07039140517868,22.52754686611474
